Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
168;tEAdz6o2;01/12/2023;14:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Croatia W;Slovakia W;21;30;21;30;0,7;0,7;1,4;1,4;1,2;1,3333;1,1926;2,7333
169;zkB434Fl;01/12/2023;14:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Slovenia W;Bosnia & Herzegovina W;22;30;20;30;0,7333;0,6667;1,4;1,3667;1,0796;1,3333;1,325;2,7
170;roZrsR3L;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Nizhny Novgorod U19;Krasnodar U19;21;30;21;30;0,7;0,7;1,4;1,0667;0,9286;1,2667;1,1235;2,3334
171;lj0E2WHl;01/12/2023;07:00;UKRAINE;YOUTH LEAGUE - ROUND 16;Kryvbas 2020 U19;Oleksandriya U19;22;30;20;30;0,7333;0,6667;1,4;1,0667;0,8537;1,3;1,2423;2,3667
172;MwuEF3Co;01/12/2023;14:30;DENMARK;1ST DIVISION - ROUND 18;Fredericia;Vendsyssel;21;30;21;30;0,7;0,7;1,4;1,4;1,562;1,0;0,8563;2,4
173;tjtGHETq;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;Temouchent;Arba;18;30;24;30;0,6;0,8;1,4;1,0333;1,1101;1,4333;1,0225;2,4666
174;2HETfnBI;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Groningen;Venlo;20;30;22;30;0,6667;0,7333;1,4;1,4333;1,5424;1,3;1,1;2,7333
175;EHirUVuE;01/12/2023;00:05;MEXICO;LIGA MX - APERTURA - PLAY OFFS - QUARTER-FINALS;Guadalajara Chivas;U.N.A.M.- Pumas;22;30;20;30;0,7333;0,6667;1,4;1,1333;0,8844;1,4333;1,3337;2,5666
176;MV2CpkGl;01/12/2023;20:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 33;Bolivar;Tomayapo;26;30;16;30;0,8667;0,5333;1,4;1,6;0,8794;0,7667;0,9551;2,3667
177;Q5x8y5Rr;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Sochi U19;Dynamo Moscow U19;21;30;21;30;0,7;0,7;1,4;1,2667;0,9978;1,0667;0,9978;2,3334
178;ncWUNmY9;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Epinal;Chateauroux;23;30;19;30;0,7667;0,6333;1,4;1,4333;1,0225;1,0333;0,9481;2,4666
179;IRLJdCVm;01/12/2023;09:30;CROATIA;PRVA NL - ROUND 17;Sesvete;Solin;22;30;20;30;0,7333;0,6667;1,4;1,2667;1,2893;1,1333;0,9214;2,4
180;C4qcQkaK;01/12/2023;17:00;GIBRALTAR;NATIONAL LEAGUE - ROUND 9;Lincoln Red Imps;Lions Gibraltar;20;30;22;30;0,6667;0,7333;1,4;1,3333;1,2472;1,6333;1,402;2,9666
181;hdftaxea;01/12/2023;12:00;PORTUGAL;LIGA 3 - ROUND 12;Atletico CP;Covilha;21;30;21;30;0,7;0,7;1,4;1,0333;0,836;1,2333;1,3585;2,2666
182;Ucid3aAH;01/12/2023;14:00;TURKEY;SUPER LIG - ROUND 14;Hatayspor;Antalyaspor;19;28;21;30;0,6786;0,7;1,3786;1,1786;1,0019;1,1;0,9074;2,2786
183;CSHVtVyf;01/12/2023;11:00;EGYPT;PREMIER LEAGUE - ROUND 7;El Daklyeh;Baladiyat El Mahalla;21;30;20;30;0,7;0,6667;1,3667;1,2;1,1944;1,3333;1,3744;2,5333
184;nRX9QL3q;01/12/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 15;Al Hilal;Al Nassr;20;30;21;30;0,6667;0,7;1,3667;1,2333;1,2297;1,3;1,1874;2,5333
185;d6OGOZF9;01/12/2023;15:00;ROMANIA;LIGA 1 - ROUND 18;Poli Iasi;Farul Constanta;21;30;20;30;0,7;0,6667;1,3667;1,3333;1,2996;1,2333;1,116;2,5666
186;tpaayL36;01/12/2023;16:00;NETHERLANDS;EREDIVISIE - ROUND 14;Heerenveen;Almere City;23;30;18;30;0,7667;0,6;1,3667;1,6333;1,2512;1,1667;1,1571;2,8
187;bL9qkTaF;01/12/2023;11:30;INDIA;ISL;Jamshedpur;Odisha FC;18;30;23;30;0,6;0,7667;1,3667;1,2333;1,2828;1,4333;1,2023;2,6666
188;nDSzl4Gf;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 15;Baile Felix;CSM Satu Mare;18;30;23;30;0,6;0,7667;1,3667;1,0333;1,0483;1,5333;1,1175;2,5666
189;KYrrE9Bt;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Oss;De Graafschap;20;30;21;30;0,6667;0,7;1,3667;1,2333;1,2023;1,4333;1,3337;2,6666
